차종,선별,출발지,도착지,거리,총운행횟수,총이용인원,이용율
우등,88선,광주,울산,327.8 ,412 ,7283 ,63.1 
고속,88선,광주,울산,327.8 ,145 ,3050 ,46.7 
우등,88선,광주,울산신복,327.8 ,164 ,545 ,11.9 
고속,88선,광주,울산신복,327.8 ,70 ,311 ,9.9 
우등,88선,광주,동대구,219.3 ,1369 ,21873 ,57.1 
고속,88선,광주,동대구,219.3 ,192 ,3732 ,43.2 
우등,88선,광주,구미,246.1 ,208 ,2634 ,45.2 
우등,88선,광주,경주,286.9 ,139 ,2102 ,54.0 
우등,88선,광주,포항,303.2 ,234 ,3931 ,60.0 
고속,88선,광주,포항,303.2 ,60 ,837 ,31.0 
우등,88선,목포,동대구,295.7 ,131 ,1447 ,39.4 
우등,88선,목포,구미,347.4 ,114 ,1732 ,54.3 
우등,88선,전주,부산,265.1 ,752 ,9232 ,43.8 
고속,88선,전주,부산,265.1 ,63 ,910 ,32.1 
우등,88선,전주,울산,308.7 ,196 ,2932 ,53.4 
고속,88선,전주,울산,308.7 ,123 ,2339 ,42.3 
우등,88선,전주,동대구,198.5 ,464 ,7521 ,57.9 
고속,88선,전주,동대구,198.5 ,5 ,132 ,58.7 
고속,경부선,서울경부,안성,77.8 ,3541 ,99277 ,62.3 
고속,경부선,서울경부,안성중대,74.0 ,1744 ,29615 ,37.7 
고속,경부선,서울경부,평택,69.8 ,2770 ,72167 ,57.9 
우등,경부선,서울경부,대전복합,153.2 ,3555 ,77759 ,78.1 
고속,경부선,서울경부,대전복합,153.2 ,1507 ,64208 ,94.7 
고속,경부선,서울경부,천안,84.1 ,5213 ,185241 ,79.0 
우등,경부선,서울경부,공주,125.9 ,1633 ,36623 ,80.1 
고속,경부선,서울경부,공주,125.9 ,490 ,13668 ,62.0 
우등,경부선,서울경부,금산,188.3 ,241 ,3507 ,52.0 
고속,경부선,서울경부,금산,188.3 ,271 ,6304 ,51.7 
고속,경부선,서울경부,아산온양,100.0 ,1530 ,41208 ,59.9 
고속,경부선,서울경부,조치원,119.1 ,953 ,20447 ,47.7 
우등,경부선,서울경부,세종시,130.7 ,3656 ,63570 ,62.1 
우등,경부선,서울경부,청주,123.0 ,3705 ,77586 ,74.8 
고속,경부선,서울경부,청주,123.0 ,2030 ,44563 ,48.8 
우등,경부선,서울경부,부산,384.3 ,2597 ,46336 ,63.7 
고속,경부선,서울경부,부산,384.3 ,663 ,20800 ,69.7 
우등,경부선,서울경부,부산사상,387.5 ,350 ,6536 ,66.7 
고속,경부선,서울경부,부산사상,387.5 ,182 ,4821 ,58.9 
우등,경부선,서울경부,울산,389.5 ,1706 ,21450 ,44.9 
고속,경부선,서울경부,울산,389.5 ,375 ,7533 ,44.6 
우등,경부선,서울경부,동대구,282.9 ,3122 ,54428 ,62.3 
고속,경부선,서울경부,동대구,282.9 ,770 ,24206 ,69.9 
우등,경부선,서울경부,구미,237.7 ,1536 ,24246 ,56.4 
고속,경부선,서울경부,구미,237.7 ,68 ,2459 ,80.4 
우등,경부선,서울경부,경주,343.3 ,746 ,9278 ,44.4 
고속,경부선,서울경부,경주,343.3 ,329 ,6901 ,46.6 
우등,경부선,서울경부,김천,229.1 ,421 ,5401 ,45.8 
고속,경부선,서울경부,김천,229.1 ,36 ,1292 ,79.8 
우등,경부선,서울경부,상주,194.7 ,673 ,11080 ,58.8 
고속,경부선,서울경부,상주,194.7 ,207 ,4034 ,43.3 
우등,경부선,서울경부,포항,361.1 ,1833 ,23589 ,46.0 
고속,경부선,서울경부,포항,361.1 ,245 ,5957 ,54.0 
고속,경부선,서울경부,영천,316.7 ,317 ,5358 ,37.6 
우등,경부선,서울경부,점촌,174.8 ,516 ,9607 ,66.5 
고속,경부선,서울경부,점촌,174.8 ,263 ,4869 ,41.1 
우등,경부선,동서울,대전복합,166.7 ,1514 ,21736 ,51.3 
고속,경부선,동서울,대전복합,166.7 ,929 ,21298 ,50.9 
우등,경부선,동서울,청주,133.0 ,1381 ,17403 ,45.0 
고속,경부선,동서울,청주,133.0 ,602 ,6991 ,25.8 
우등,경부선,동서울,부산,386.6 ,540 ,10459 ,69.2 
고속,경부선,동서울,부산,386.6 ,288 ,6868 ,53.0 
우등,경부선,동서울,동대구,285.5 ,1161 ,21322 ,65.6 
고속,경부선,동서울,동대구,285.5 ,647 ,17901 ,61.5 
우등,경부선,상봉,대전복합,164.9 ,308 ,3516 ,40.8 
고속,경부선,상봉,대전복합,164.9 ,128 ,1894 ,32.9 
고속,경부선,상봉,청주,130.2 ,300 ,4495 ,33.3 
우등,경부선,파주문산,대전복합,240.8 ,60 ,385 ,22.9 
고속,경부선,파주문산,대전복합,240.8 ,75 ,600 ,17.8 
고속,경부선,인천,아산온양,120.1 ,379 ,1737 ,10.2 
우등,경부선,인천,김해,397.5 ,241 ,1947 ,28.9 
고속,경부선,인천,김해,397.5 ,4 ,160 ,88.9 
우등,경부선,수원,부산사상,374.6 ,285 ,3566 ,44.7 
고속,경부선,수원,부산사상,374.6 ,27 ,919 ,75.6 
우등,경부선,고양백석,충주,168.1 ,60 ,672 ,40.0 
고속,경부선,고양백석,충주,168.1 ,60 ,886 ,32.8 
우등,경부선,성남,부산,379.8 ,784 ,11694 ,53.3 
고속,경부선,성남,부산,379.8 ,151 ,3393 ,49.9 
우등,경부선,성남,부산사상,383.0 ,131 ,1654 ,45.1 
고속,경부선,성남,부산사상,383.0 ,61 ,1088 ,39.6 
우등,경부선,성남,통영,364.5 ,63 ,768 ,43.5 
우등,경부선,성남,동대구,278.3 ,1050 ,14473 ,49.2 
고속,경부선,성남,동대구,278.3 ,246 ,5091 ,46.0 
고속,경부선,철산,천안,110.9 ,564 ,2425 ,9.6 
우등,경부선,용인,부산,374.6 ,270 ,3008 ,39.8 
